id     channel       region  customer_lifetime_value
-----  ------------  ------  -----------------------
id     channel       region  customer_lifetime_value
18005  Search        north   400409.8               
18013  Email         North   47066.83               
18033  Search        North   82369.5                
18044  Affiliate     North   189196.9               
18049  Social Media  North   295293.12              
18064  Social Media  North   21731.06               
18075  TV            Nort    38013.02               
18080  Social Media  North   31138.34               
18081  Social Media  North   32367.28               
18083  TV            North   60186.74               
18090  Social Media  North   12675.2                
18096  Social Media  North   14170.02               
18097  Affiliate     North   37929.18               
18100  Affiliate     North   13125.45               
18112  Affiliate     North   34625.57               
18124  Email         North   64112.32               
18125  Email         North   287396.3               
18126  TV            North   32453.64               
18131  Email         North   156047.5               
18133  Email         North   36010.86               
18134  Email         North   15146.99               
18139  Search        North   12673.45               
18148  Email         North   17096.96               
18162  Social Media  North   113476.24              
18164  Search        North   83958.93               
18165  Email         North   21004.38               
18169  Affiliate     North   13673.51               
18177  Affiliate     North   18329.19               
18180  Social Media  North   24838.23               
18183  Social Media  Norht   11067.54               
18193  Email         North   14002.68               
18195  Affiliate     North   22677.42               
18196  Influencer    North   21570.55               
18201  Email         East    20792.51               
18212  Email         North   19446.18               
18221  Search        North   66476.58               
18224  Influencer    North   21431.68               
18230  Affiliate     North   30395.62               
18234  TV            North   12045.12               
18239  Social Media  North   14236.06               
18240  Social Media  North   48960.64               
18263  TV            North   232056.66              
18270  Email         North   28955.14               
18277  Affiliate     North   16174.8                
18287  Influencer    North   11398.64               
18309  Social Media  North   137880.91              
18311  Email         north   27595.92               
18314  Search        North   15795.54               
18317  Social Media  North   163566.12              
18339  Social Media  North   19642.03               
18344  Affiliate     North   65912.09               
18346  Social Media  East    17318.51               
18349  TV            North   19966.08               
18352  Search        North   31618.64               
18361  Social Media  North   10927.76               
18362  Email         North   38035.93               
18372  Influencer    North   160088.29              
18382  Affiliate     North   20918.99               
18384  Social Media  North   18788.42               
18385  Social Media  North   166015.03              
18395  Influencer    North   29939.452              
18402  Email         North   141503.37              
18404  TV            North   13133.26               
18405  Search        North   11519.53               
18407  Email         Norht   29524.55               
18411  Search        North   12279.98               
18412  Influencer    North   37465.82               
18420  Affiliate     North   14981.49               
18426  Affiliate     North   11096.86               
18432  Email         North   16330.59               
18433  Social Media  North   11848.72               
18437  Social Media  North   143982.3               
18446  TV            NORTH   11503.96               
18448  Email         North   17509.59               
18454  Email         Nort    50502.02               
18467  Influencer    North   11173.84               
18472  Affiliate     North   11389.4                
18476  Affiliate     North   87166.48               
18483  Affiliate     north   56186.45               
18484  Search        North   165596.7               
18494  Affiliate     Norht   11432.23               
18502  Social Media  North   81406.39               
18516  Search        North   56137.37               
18524  Search        North   14506.04               
18525  Social Media  North   11047.41               
18533  Email         North   14509.36               
18534  Influencer    North   42763.01               
18537  Email         North   225062.56              
18551  Search        North   10352.82               
18580  Influencer    North   23547.43               
18584  Influencer    North   20846.98               
18586  Social Media  North   172347.84              
18587  Email         North   123765.53              
18590  Social Media  North   14555.76               
18592  Search        North   13974.46               
18595  Social Media  North   19710.87               
18597  Search        North   41868.08               
18617  Email         North   29525.63               
18625  Email         North   10811.23               
18633  Social Media  North   21161.85               
18644  Affiliate     North   112086.2               
18656  Influencer    North   47704.15               
18662  Search        north   19666.12               
18665  Influencer    North   269431.6               
18677  Email         North   12955.96               
18680  Email         North   15377.1                
18693  TV            North   20806.67               
18716  Affiliate     North   20116.54               
18725  Social Media  North   292904.61              
18732  Email         North   41474.4                
18738  TV            North   48618.59               
18744  Affiliate     North   22334.02               
18749  Social Media  North   310393.74              
18750  Email         North   51000.19               
18754  Affiliate     North   21550.34               
18758  Search        North   23679.47               
18767  Search        North   15089.05               
